economy,time,BX.KLT.DINV.CD.WD,FP.CPI.TOTL.ZG,FR.INR.RINR,NE.CON.GOVT.CD,NE.CON.TOTL.CD,NE.EXP.GNFS.CD,NY.GDP.MKTP.CD,SL.UEM.TOTL.ZS,AG.LND.AGRI.ZS,NE.GDI.TOTL.CD,NE.IMP.GNFS.CD,SL.TLF.CACT.ZS
ABW,YR2000,-127932960.893855,4.04402131190514,10.9268022161988,401117318.435754,1326256983.24022,1393854748.60335,1873184357.5419,,11.1111111111111,477653631.284916,1324022346.36872,
ABW,YR2001,-266927374.301676,2.8836043031626,15.8732150965808,470949720.670391,1410614525.13966,1346368715.0838,1896648044.69274,,11.1111111111111,455307262.569832,1316201117.31844,
ABW,YR2002,332513966.480447,3.31524678585428,6.5616266959082,488268156.424581,1520111731.84358,1266480446.92737,1962011173.18436,,11.1111111111111,522346368.715084,1346927374.30168,
ABW,YR2003,159776536.312849,3.65636507938414,7.4436009598491,499441340.782123,1603351955.30726,1282122905.02793,2044134078.21229,,11.1111111111111,590502793.296089,1432402234.63687,
ABW,YR2004,-105698324.022346,2.52912946932762,6.59693654738304,516201117.318436,1683240223.46369,1458100558.65922,2254748603.35196,,11.1111111111111,641340782.122905,1527932960.89385,
ABW,YR2005,-207798005.868163,3.39778677828806,5.65140675648298,539106145.251397,1787709497.2067,1606703910.61453,2359776536.31285,,11.1111111111111,782681564.24581,1816759776.53631,
ABW,YR2006,220316139.723839,3.60802438784541,5.81220501905943,551396648.044693,1910055865.92179,1595530726.25698,2469832402.23464,,11.1111111111111,852513966.480447,1888268156.42458,
ABW,YR2007,-471005586.592179,5.39256784475512,4.98494317887425,573184357.541899,2091061452.51397,1741899441.34078,2677653631.28492,,11.1111111111111,850279329.608939,2005586592.17877,
ABW,YR2008,18882681.5642458,8.9559870517779,5.98090699034845,603910614.52514,2159217877.09497,1863128491.62011,2843016759.77654,,11.1111111111111,912849162.011173,2092178770.94972,
ABW,YR2009,-10614525.1396648,-2.13542872046934,8.84545006574638,634078212.290503,2096089385.47486,1606703910.61453,2553631284.9162,,11.1111111111111,756983240.223464,1906145251.39665,
ABW,YR2010,186759776.536313,2.07814071860782,11.658484092447,649162011.173184,2127932960.89385,1477653631.28492,2453631284.9162,,11.1111111111111,693854748.603352,1846368715.0838,
ABW,YR2011,488156424.581006,4.31629742195207,4.79578773803402,662569832.402235,2308938547.48603,1839664804.46927,2637988826.81564,,11.1111111111111,723463687.150838,2234078212.2905,
ABW,YR2012,-314692737.430168,0.627471992893334,8.21727796856164,684357541.899441,2272625698.32402,1911731843.57542,2615083798.88268,,11.1111111111111,615083798.882682,2184916201.11732,
ABW,YR2013,226371388.826816,-2.37206524252253,10.6993243243243,714525139.664804,2317877094.97207,2088268156.42458,2727932960.89385,,11.1111111111111,649720670.391061,2327932960.89385,
ABW,YR2014,250618094.972067,0.42144091888116,4.85160128102481,692737430.167598,2322346368.71508,2184357541.89944,2791061452.51397,,11.1111111111111,645251396.648045,2361452513.96648,
ABW,YR2015,-28775856.424581,0.474763597342612,4.358079175325,688826815.642458,2328491620.11173,2158659217.87709,2963128491.62011,,11.1111111111111,637988826.815642,2162569832.40223,
ABW,YR2016,27551267.6251579,-0.931195987079616,8.40653990156212,700558659.217877,2327932960.89385,2143016759.77654,2983798882.68156,,11.1111111111111,613966480.446927,2101117318.43575,
ABW,YR2017,162463551.517038,-1.02828178762002,8.19771800178289,711731843.575419,2416759776.53631,2243575418.99441,3092178770.94972,,11.1111111111111,635754189.944134,2203351955.30726,
ABW,YR2018,135921173.407329,3.62604141352956,7.7387238341576,754189944.134078,2537430167.59777,2363128491.62011,3202234636.87151,,11.1111111111111,691061452.513966,2389944134.07821,
ABW,YR2019,-75226540.6843182,4.25746204335428,1.10674730711265,740102655.191369,2617660969.61901,2460174357.5419,3368970253.05286,,11.1111111111111,716330411.800922,2425195485.90897,
ABW,YR2020,161066979.086053,,12.2287174295971,702104794.531603,2353440956.31078,1347955008.01117,2610038937.56355,,11.1111111111111,603283334.433788,1694640361.19218,
